Rank,Model,MAE,RMSE,R²,MAPE%,SMAPE%,Category
1,RF_Extended,3.643946198879454,9.592870194568128,0.5604228170194907,138.67148122970798,50.796089685799195,ML - Extended Features
2,RF_Base,4.061963738161699,10.546181316014769,0.46871387610878945,239.5582567583367,50.02090080594146,ML - Base Features
3,XGBoost_Extended,4.5384792188210925,11.878197104454236,0.3260323348244081,135.57136446619833,55.852922073318,ML - Extended Features
4,XGBoost_Base,4.634004200598119,12.419843199030096,0.2631650259751611,172.67231076946982,55.842618664216346,ML - Base Features
5,"ARIMA(2,1,2)",3.1076604808221755,3.8109823868641723,-8.686010914732488,37.47065212573781,51.149735744423964,Time Series
6,VAR(1),239728.57386109178,417200.3145719426,-116080782044.09178,3410991.183513673,199.76534147937411,Time Series
